"Testcase Name","Testcase Description","Testcase Steps","Testcase Excepted Results","Components","Test Type","Automation Status","Fix Version","Priority","Affects Version"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""Application ? Netinsights""
5)""each  tab  will  report  inactivity  timeout  around  the  same  time  ""
6)""Inactivity  timeout  trigger  will  put  a  popup  which  says  your  session  will  be  expired  due  to  inactivity  in  next  Netinsights-timeout-grace-period  seconds""
7)""popup ? usable""
8)""user  performs  any  operation  in  Netinsights-timeout-grace-period  seconds  after  inactivity  timeout  comes  out ?""
9)""activity  will  be  performed  according  to  operation  selected  by  user  ""
10)""user  clicks  logout  in  inactivity  timeout ?""
11)""logout ? usable""
12)""if  customer  clicks  Continue  
13) will  be  closed  and  Netinsights-last-activity-timestamp  will  be  refreshed  to  be  the  current  timestamp""
14)""Continue ? unusable""
","","QA","Functional","Not Applicable","Cortex 1.3","P1","Cortex 1.3"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""Application ? Cortex""
5)""each  tab  will  report  inactivity  timeout  around  the  same  time  ""
6)""Inactivity  timeout  trigger  will  put  a  popup  which  says  your  session  will  be  expired  due  to  inactivity  in  next  Netinsights-timeout-grace-period  seconds""
7)""popup ? usable""
8)""user  performs  any  operation  in  Netinsights-timeout-grace-period  seconds  after  inactivity  timeout  comes  out ?""
9)""activity  will  be  performed  according  to  operation  selected  by  user  ""
10)""user  clicks  logout  in  inactivity  timeout ?""
11)""logout ? usable""
12)""if  customer  clicks  Continue  
13) will  be  closed  and  Netinsights-last-activity-timestamp  will  be  refreshed  to  be  the  current  timestamp""
14)""Continue ? usable""
","","QA","Functional","Not Applicable","Cortex 1.3","P1","Cortex 1.3"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""Application ? Cortex""
5)""each  tab  will  report  inactivity  timeout  around  the  same  time  ""
6)""Inactivity  timeout  trigger  will  put  a  popup  which  says  your  session  will  be  expired  due  to  inactivity  in  next  Netinsights-timeout-grace-period  seconds""
7)""popup ? usable""
8)""user  performs  any  operation  in  Netinsights-timeout-grace-period  seconds  after  inactivity  timeout  comes  out ?""
9)""activity  will  be  performed  according  to  operation  selected  by  user  ""
10)""user  clicks  logout  in  inactivity  timeout ?""
11)""logout ? usable""
12)""if  customer  clicks  Continue  
13) will  be  closed  and  Netinsights-last-activity-timestamp  will  be  refreshed  to  be  the  current  timestamp""
14)""Continue ? unusable""
","","QA","Functional","Not Applicable","Cortex 1.3","P1","Cortex 1.3"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""Application ? All-open""
5)""each  tab  will  report  inactivity  timeout  around  the  same  time  ""
6)""Inactivity  timeout  trigger  will  put  a  popup  which  says  your  session  will  be  expired  due  to  inactivity  in  next  Netinsights-timeout-grace-period  seconds""
7)""popup ? usable""
8)""user  performs  any  operation  in  Netinsights-timeout-grace-period  seconds  after  inactivity  timeout  comes  out ?""
9)""activity  will  be  performed  according  to  operation  selected  by  user  ""
10)""user  clicks  logout  in  inactivity  timeout ?""
11)""logout ? usable""
12)""if  customer  clicks  Continue  
13) will  be  closed  and  Netinsights-last-activity-timestamp  will  be  refreshed  to  be  the  current  timestamp""
14)""Continue ? usable""
","","QA","Functional","Not Applicable","Cortex 1.3","P1","Cortex 1.3"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""Application ? All-open""
5)""each  tab  will  report  inactivity  timeout  around  the  same  time  ""
6)""Inactivity  timeout  trigger  will  put  a  popup  which  says  your  session  will  be  expired  due  to  inactivity  in  next  Netinsights-timeout-grace-period  seconds""
7)""popup ? usable""
8)""user  performs  any  operation  in  Netinsights-timeout-grace-period  seconds  after  inactivity  timeout  comes  out ?""
9)""activity  will  be  performed  according  to  operation  selected  by  user  ""
10)""user  clicks  logout  in  inactivity  timeout ?""
11)""logout ? usable""
12)""if  customer  clicks  Continue  
13) will  be  closed  and  Netinsights-last-activity-timestamp  will  be  refreshed  to  be  the  current  timestamp""
14)""Continue ? unusable""
","","QA","Functional","Not Applicable","Cortex 1.3","P1","Cortex 1.3"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""Application ? Netinsights""
5)""each  tab  will  report  inactivity  timeout  around  the  same  time  ""
6)""Inactivity  timeout  trigger  will  put  a  popup  which  says  your  session  will  be  expired  due  to  inactivity  in  next  Netinsights-timeout-grace-period  seconds""
7)""popup ? usable""
8)""user  performs  any  operation  in  Netinsights-timeout-grace-period  seconds  after  inactivity  timeout  comes  out ?""
9)""automatically  log  offs""
","","QA","Functional","Not Applicable","Cortex 1.3","P1","Cortex 1.3"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""Application ? Cortex""
5)""each  tab  will  report  inactivity  timeout  around  the  same  time  ""
6)""Inactivity  timeout  trigger  will  put  a  popup  which  says  your  session  will  be  expired  due  to  inactivity  in  next  Netinsights-timeout-grace-period  seconds""
7)""popup ? usable""
8)""user  performs  any  operation  in  Netinsights-timeout-grace-period  seconds  after  inactivity  timeout  comes  out ?""
9)""automatically  log  offs""
","","QA","Functional","Not Applicable","Cortex 1.3","P1","Cortex 1.3"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""Application ? All-open""
5)""each  tab  will  report  inactivity  timeout  around  the  same  time  ""
6)""Inactivity  timeout  trigger  will  put  a  popup  which  says  your  session  will  be  expired  due  to  inactivity  in  next  Netinsights-timeout-grace-period  seconds""
7)""popup ? usable""
8)""user  performs  any  operation  in  Netinsights-timeout-grace-period  seconds  after  inactivity  timeout  comes  out ?""
9)""automatically  log  offs""
","","QA","Functional","Not Applicable","Cortex 1.3","P1","Cortex 1.3"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""Application ? Netinsights""
5)""customer  resumes  activity  in  any  tab  each  tab  will  be  refreshed  with  the  latest  operation  timestamp""
","","QA","Functional","Not Applicable","Cortex 1.3","P1","Cortex 1.3"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""Application ? Cortex""
5)""customer  resumes  activity  in  any  tab  each  tab  will  be  refreshed  with  the  latest  operation  timestamp""
","","QA","Functional","Not Applicable","Cortex 1.3","P1","Cortex 1.3"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""Application ? All-open""
5)""customer  resumes  activity  in  any  tab  each  tab  will  be  refreshed  with  the  latest  operation  timestamp""
","","QA","Functional","Not Applicable","Cortex 1.3","P1","Cortex 1.3"
